EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,ManagerTenureRatio,RolePromoGapDiff,CareerVelocity,CompRatioToRoleAvg,OverallSatisfaction,CareerStage,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityIndex,RetentionPriorityLevel,TrainingNeedIndicator,ManagerStabilityImpact,PrescriptiveAction,ClusterID,HierarchicalClusterID,PCA1,PCA2,PCA3,CareerCluster
PANW-1000,41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.0,0.571,0.0,1.0,0.714,4,0.222,0.87,2.0,Growth Stage (3-6 yrs),26.8,Low Risk,39.4,Already Attrited,Moderate Development Need,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,1,4,-0.199,-0.106,-1.125,Fast-Track Performers
PANW-1001,49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0.091,0.636,0.273,0.875,0.636,6,0.182,1.58,3.0,Established Stage (7-12 yrs),48.8,Medium Risk,74.6,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.795,0.26,-1.314,High-Risk Stagnation Profiles
PANW-1002,37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0,0.125,0.65,3.0,Early Stage (0-2 yrs),3.8,Low Risk,27.6,Already Attrited,Sufficiently Trained,Recent Manager Transition,Exit Analysis & Knowledge Transfer,0,2,-3.545,-0.89,0.653,Early-Career Explorers
PANW-1003,33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0.333,0.778,0.333,0.0,0.0,4,0.111,0.9,3.25,Established Stage (7-12 yrs),55.6,High Risk,74.5,Immediate Action,Sufficiently Trained,Recent Manager Transition,Lateral Role Rotation / New Project,1,1,0.15,1.805,-0.509,Fast-Track Performers
PANW-1004,27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0.667,0.667,1.0,0.667,0.667,0,0.143,1.07,2.5,Early Stage (0-2 yrs),37.4,Medium Risk,68.1,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.863,1.587,0.68,Fast-Track Performers
PANW-1005,32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0.375,0.875,0.25,0.75,0.75,4,0.111,0.95,3.25,Established Stage (7-12 yrs),54.2,Medium Risk,74.0,Immediate Action,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.952,1.714,-0.773,High-Risk Stagnation Profiles
PANW-1006,59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.0,1.5,0.0,0.0,0,0.077,0.82,1.75,Early Stage (0-2 yrs),11.2,Low Risk,68.9,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-2.564,-0.916,-0.305,Early-Career Explorers
PANW-1007,30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.5,0.83,3.0,Early Stage (0-2 yrs),3.8,Low Risk,62.6,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,0,2,-3.635,-0.162,0.606,Early-Career Explorers
PANW-1008,38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.1,0.7,0.2,1.0,0.8,6,0.273,1.31,3.0,Established Stage (7-12 yrs),46.6,Medium Risk,73.8,Immediate Action,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,1.026,0.04,-0.944,High-Risk Stagnation Profiles
PANW-1009,36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0.875,0.875,0.375,0.875,0.875,0,0.111,0.7,2.5,Established Stage (7-12 yrs),72.0,High Risk,80.2,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,0,2.429,1.773,1.154,High-Risk Stagnation Profiles
PANW-1010,35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.0,0.667,0.833,0.6,0.5,4,0.143,0.75,2.25,Growth Stage (3-6 yrs),36.7,Medium Risk,71.6,Immediate Action,Sufficiently Trained,Moderate Manager Continuity,Lateral Role Rotation / New Project,1,4,-0.988,0.615,-1.251,Fast-Track Performers
PANW-1011,29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.0,0.5,0.3,1.333,0.8,5,0.182,1.3,3.5,Established Stage (7-12 yrs),31.9,Medium Risk,62.4,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,3,4,0.431,-0.591,-1.15,High-Risk Stagnation Profiles
PANW-1012,31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0.667,0.333,0.167,1.0,0.5,-2,0.167,0.9,2.5,Growth Stage (3-6 yrs),32.3,Medium Risk,66.3,Watchlist,Moderate Development Need,Moderate Manager Continuity,Upskilling & Training Program,1,4,-0.355,1.019,0.902,Fast-Track Performers
PANW-1013,34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0.333,0.667,0.667,0.667,0.667,1,0.25,0.82,3.0,Early Stage (0-2 yrs),26.4,Low Risk,64.2,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-1.399,1.274,-0.01,Fast-Track Performers
PANW-1014,28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.0,0.4,0.8,1.0,0.6,2,0.143,0.63,2.75,Growth Stage (3-6 yrs),20.0,Low Risk,33.2,Already Attrited,Sufficiently Trained,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-1.434,-0.152,-0.908,Fast-Track Performers
PANW-1015,29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0.727,0.818,0.091,0.8,0.727,1,0.273,1.37,2.25,Established Stage (7-12 yrs),84.7,High Risk,88.4,Immediate Action,High Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,0,2.653,1.624,1.497,High-Risk Stagnation Profiles
PANW-1016,32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0.0,0.286,0.714,1.667,0.714,2,0.125,1.02,2.25,Growth Stage (3-6 yrs),20.9,Low Risk,66.1,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,1,4,-0.984,-0.783,-0.861,Fast-Track Performers
PANW-1017,22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.5,0.91,3.0,Early Stage (0-2 yrs),0.0,Low Risk,58.8,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,0,2,-3.595,-0.247,0.845,Early-Career Explorers
PANW-1018,53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0.115,0.308,0.115,0.778,0.269,5,0.125,0.9,2.75,Veteran Stage (13+ yrs),43.2,Medium Risk,66.4,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,2,1,3.404,-2.312,-0.234,Stable Long-Term Contributors
PANW-1019,38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.25,0.5,0.75,0.667,0.5,1,0.143,1.22,3.5,Growth Stage (3-6 yrs),22.2,Low Risk,62.8,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-1.239,0.606,-0.257,Fast-Track Performers
PANW-1020,24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0.2,0.4,1.0,1.0,0.6,1,0.333,0.55,2.5,Growth Stage (3-6 yrs),23.5,Low Risk,67.0,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-1.444,-0.038,0.378,Fast-Track Performers
PANW-1021,36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,0.0,0.5,0.667,0.75,0.5,3,0.091,1.3,2.25,Growth Stage (3-6 yrs),33.1,Medium Risk,44.1,Already Attrited,Sufficiently Trained,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-0.923,0.071,-1.501,Fast-Track Performers
PANW-1022,34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0.154,0.462,0.308,1.571,0.846,4,0.214,0.75,2.25,Established Stage (7-12 yrs),44.8,Medium Risk,70.7,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,3,1,1.683,-0.996,-0.273,High-Risk Stagnation Profiles
PANW-1023,21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0,1.0,0.38,3.5,Early Stage (0-2 yrs),0.0,Low Risk,55.0,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-6.786,-0.71,4.635,Early-Career Explorers
PANW-1024,34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,0.2,0.4,0.4,1.0,0.6,1,0.111,0.91,2.25,Growth Stage (3-6 yrs),31.0,Medium Risk,40.8,Already Attrited,Moderate Development Need,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-0.855,0.106,-0.522,Fast-Track Performers
PANW-1025,53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.267,0.867,0.2,0.571,0.533,9,0.185,1.11,3.0,Veteran Stage (13+ yrs),64.4,High Risk,77.5,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,1,3.897,-0.405,-0.144,Stable Long-Term Contributors
